,0
v098,0.0
v122,0.0
v119,0.0
v116,0.0
v115,0.0
v112,0.0
v111,0.0
v109,0.0
v106,0.0
v105,0.0
v096,0.0
v068,0.0
v095,0.0
v094,0.0
v091,0.0
v089,0.0
v088,0.0
v083,0.0
v077,0.0
v076,0.0
v072,0.0
v297,0.0
v300,0.0
v617,0.0
v505,0.0
v533,0.0
v524,0.0
v523,0.0
v522,0.0
v521,0.0
v519,0.0
v514,0.0
v510,0.0
v506,0.0
v501,0.0
v541,0.0
v499,0.0
v490,0.0
v489,0.0
v006,0.0
v483,0.0
v482,0.0
v480,0.0
v477,0.0
v476,0.0
v540,0.0
v544,0.0
v471,0.0
v576,0.0
v611,0.0
v607,0.0
v606,0.0
v599,0.0
v595,0.0
v594,0.0
v589,0.0
v588,0.0
v582,0.0
v575,0.0
v545,0.0
v573,0.0
v570,0.0
v566,0.0
v561,0.0
v556,0.0
v555,0.0
v548,0.0
v547,0.0
v546,0.0
v472,0.0
v461,0.0
v303,0.0
v332,0.0
v361,0.0
v360,0.0
v358,0.0
v352,0.0
v348,0.0
v344,0.0
v338,0.0
v337,0.0
v334,0.0
v331,0.0
v380,0.0
v330,0.0
v329,0.0
v324,0.0
v319,0.0
v318,0.0
v314,0.0
v312,0.0
v305,0.0
v304,0.0
v376,0.0
v387,0.0
v459,0.0
v420,0.0
v455,0.0
v451,0.0
v441,0.0
v435,0.0
v434,0.0
v432,0.0
v429,0.0
v427,0.0
v424,0.0
v418,0.0
v392,0.0
v417,0.0
v408,0.0
v407,0.0
v406,0.0
v405,0.0
v402,0.0
v400,0.0
v399,0.0
v398,0.0
v485,0.0
